Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);nomeUnidadeRecente;categoriaSituacao;nomeSituacao;FluxoRetido;Número de Matrículas
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Brasília;Concluintes;Concluída;Em fluxo;1070
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Brasília;Em curso;Em curso;Em fluxo;2037
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Brasília;Em curso;Em curso;Retido;1562
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Brasília;Evadidos;Abandono;Em fluxo;1105
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Brasília;Evadidos;Desligada;Em fluxo;527
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Brasília;Evadidos;Reprovado;Em fluxo;129
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Brasília;Evadidos;Transf. externa;Em fluxo;23
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Ceilândia;Concluintes;Concluída;Em fluxo;184
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Ceilândia;Em curso;Em curso;Em fluxo;979
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Ceilândia;Em curso;Em curso;Retido;212
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Ceilândia;Evadidos;Abandono;Em fluxo;394
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Ceilândia;Evadidos;Desligada;Em fluxo;183
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Ceilândia;Evadidos;Reprovado;Em fluxo;33
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Ceilândia;Evadidos;Transf. externa;Em fluxo;4
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Estrutural;Concluintes;Concluída;Em fluxo;78
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Estrutural;Concluintes;Integralizada;Em fluxo;9
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Estrutural;Em curso;Em curso;Em fluxo;611
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Estrutural;Em curso;Em curso;Retido;224
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Estrutural;Evadidos;Abandono;Em fluxo;241
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Estrutural;Evadidos;Desligada;Em fluxo;119
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Estrutural;Evadidos;Reprovado;Em fluxo;138
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Estrutural;Evadidos;Transf. externa;Em fluxo;40
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Gama;Concluintes;Concluída;Em fluxo;308
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Gama;Concluintes;Integralizada;Em fluxo;1
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Gama;Em curso;Em curso;Em fluxo;751
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Gama;Em curso;Em curso;Retido;295
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Gama;Evadidos;Abandono;Em fluxo;60
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Gama;Evadidos;Desligada;Em fluxo;78
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Gama;Evadidos;Reprovado;Em fluxo;582
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Gama;Evadidos;Transf. externa;Em fluxo;16
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Planaltina;Concluintes;Concluída;Em fluxo;108
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Planaltina;Concluintes;Integralizada;Em fluxo;11
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Planaltina;Em curso;Em curso;Em fluxo;1212
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Planaltina;Em curso;Em curso;Retido;336
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Planaltina;Evadidos;Abandono;Em fluxo;332
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Planaltina;Evadidos;Desligada;Em fluxo;213
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Planaltina;Evadidos;Reprovado;Em fluxo;38
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Planaltina;Evadidos;Transf. externa;Em fluxo;59
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Recanto Das Emas;Concluintes;Concluída;Em fluxo;68
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Recanto Das Emas;Concluintes;Integralizada;Em fluxo;1
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Recanto Das Emas;Em curso;Em curso;Em fluxo;564
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Recanto Das Emas;Em curso;Em curso;Retido;62
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Recanto Das Emas;Evadidos;Abandono;Em fluxo;148
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Recanto Das Emas;Evadidos;Desligada;Em fluxo;103
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Recanto Das Emas;Evadidos;Reprovado;Em fluxo;92
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Recanto Das Emas;Evadidos;Transf. externa;Em fluxo;40
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Riacho Fundo;Concluintes;Concluída;Em fluxo;126
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Riacho Fundo;Concluintes;Integralizada;Em fluxo;2
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Riacho Fundo;Em curso;Em curso;Em fluxo;597
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Riacho Fundo;Em curso;Em curso;Retido;343
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Riacho Fundo;Evadidos;Abandono;Em fluxo;172
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Riacho Fundo;Evadidos;Desligada;Em fluxo;240
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Riacho Fundo;Evadidos;Transf. externa;Em fluxo;86
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Samambaia;Concluintes;Concluída;Em fluxo;231
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Samambaia;Concluintes;Integralizada;Em fluxo;20
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Samambaia;Em curso;Em curso;Em fluxo;769
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Samambaia;Em curso;Em curso;Retido;379
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Samambaia;Evadidos;Abandono;Em fluxo;209
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Samambaia;Evadidos;Desligada;Em fluxo;212
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Samambaia;Evadidos;Reprovado;Em fluxo;226
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Samambaia;Evadidos;Transf. externa;Em fluxo;21
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus São Sebastião;Concluintes;Concluída;Em fluxo;177
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus São Sebastião;Em curso;Em curso;Em fluxo;677
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus São Sebastião;Em curso;Em curso;Retido;295
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus São Sebastião;Evadidos;Abandono;Em fluxo;301
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus São Sebastião;Evadidos;Desligada;Em fluxo;210
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus São Sebastião;Evadidos;Reprovado;Em fluxo;3
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus São Sebastião;Evadidos;Transf. externa;Em fluxo;4
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Taguatinga;Concluintes;Concluída;Em fluxo;311
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Taguatinga;Em curso;Em curso;Em fluxo;652
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Taguatinga;Em curso;Em curso;Retido;706
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Taguatinga;Evadidos;Abandono;Em fluxo;333
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Taguatinga;Evadidos;Desligada;Em fluxo;107
2024;Centro-Oeste;DF;Distrito Federal;Instituto Federal;IFB;Instituto Federal de Brasília;Campus Taguatinga;Evadidos;Transf. externa;Em fluxo;19
