Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);CarreiraSigla;Número de servidores (Siafi)
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;PCCTAE;4
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Outros;3185
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Outros;3206
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;PCCTAE;4
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;PCCTAE;4
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Outros;3161
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Outros;2656
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;PCCTAE;4
2019;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Prof. EBTT;1
2019;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;PCCTAE;5
2019;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Outros;3135
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;PCCTAE;8
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Prof. EBTT;3
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Outros;3071
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Outros;2928
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;PCCTAE;8
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Prof. EBTT;3
2016;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;PCCTAE;8
2016;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Outros;2955
2016;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Prof. EBTT;3
