Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituição (Nome);Instituicao;nomeUnidadeRecente;nomeIdCurso;tipoCurso;tipoOferta;ModalidadeEnsino;Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente | Geral
2024;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Computação (Licenciatura);Licenciatura;Não se aplica;Educação Presencial;1;1;24;237;111;40;111
2024;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Integrado;Educação Presencial;1;7;42;137;186;40;213,15599999999998
2024;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Subsequente;Educação Presencial;1;;33;50;75;40;85,94999999999999
2024;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Integrado;Educação Presencial;1;10;42;246;156;40;164,268
2024;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Subsequente;Educação Presencial;1;;23;50;50;40;52,65
2024;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Meio Ambiente (Técnico);Técnico;Subsequente;Educação Presencial;1;;25;50;55;40;56,1
2024;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Integrado;Educação Presencial;1;10;41;227;177;40;189,921
2024;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Subsequente;Educação Presencial;1;14;;;47;;50,431
2023;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Assistente Administrativo (Qualificação Profissional (FIC));Qualificação Profissional (FIC);Não se aplica;Educação Presencial;1;43;49;49;49;50;10,780000000000001
2023;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Assistente Administrativo (Qualificação Profissional (FIC));Qualificação Profissional (FIC);PROEJA -;Educação Presencial;1;58;84;477;84;84;18,480000000000004
