Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);Titulação;Jornada_de_Trabalho;Servidores | Número de Docentes
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;DE;869
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;40h;169
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;20h;12
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;40h;62
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;40h;14
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;DE;6
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Aperfeiçoamento;DE;1
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;20h;25
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;40h;16
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;DE;547
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;20h;41
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;20h;20
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;DE;170
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;40h;11
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;40h;52
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;20h;20
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;40h;195
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;DE;42
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;40h;19
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;DE;809
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;20h;45
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;20h;11
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;DE;505
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;DE;158
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;20h;23
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;40h;12
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;DE;789
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;DE;175
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;20h;25
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;40h;21
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;20h;37
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;20h;30
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;40h;238
