Tabela;Descrição_Tabela;Autor_Tabela;Data_Tabela;Versão_Tabela;Nome;Tipo;Descrição;Expressão
dCalendário;Tabela de calendário da plataforma Nilo Peçanha. Esta tabela é utilizada como referência de data para todo os dados disponíveis.;Poty Lucena;15/05/2023;2;Ano;Int64;Ano de referência;
d_IES;A tabela d_IES é uma tabela que contém informações sobre as Instituições de Ensino Superior (IES) do Brasil.;dsbr;03/11/2022;1;Região;String;Nome da região do Brasil em que a Instituição está situada;
d_IES;A tabela d_IES é uma tabela que contém informações sobre as Instituições de Ensino Superior (IES) do Brasil.;dsbr;03/11/2022;1;UF;String;Unidade Federativa (UF) da Instituição;
d_IES;A tabela d_IES é uma tabela que contém informações sobre as Instituições de Ensino Superior (IES) do Brasil.;dsbr;03/11/2022;1;Estado;String;Nome do estado do Brasil em que a Instituição está situada;
d_IES;A tabela d_IES é uma tabela que contém informações sobre as Instituições de Ensino Superior (IES) do Brasil.;dsbr;03/11/2022;1;Organização Acadêmica PNP;String;"Designação da organização acadêmica das instituições no âmbito da PNP, que podem ser classificadas como Instituto Federal (IF), Centro Federal de Educação Tecnológica (Cefet), Escola técnica vinculada (ETV) ou Colégio Pedro II (CPII)";
d_IES;A tabela d_IES é uma tabela que contém informações sobre as Instituições de Ensino Superior (IES) do Brasil.;dsbr;03/11/2022;1;Instituição (Nome);String;Nome da Instituição de Ensino Superior;
dimUnidade;A tabela dimUnidade possui informações geográficas e da evolução dos nomes sobre as unidades de ensino superior no Brasil.;dsbr;03/11/2022;1;Instituicao;String;;
dimUnidade;A tabela dimUnidade possui informações geográficas e da evolução dos nomes sobre as unidades de ensino superior no Brasil.;dsbr;03/11/2022;1;nomeUnidadeRecente;String;Nome da unidade de ensino, conforme última edição disponível;
dimCurso;A tabela dimCurso possui informações sobre os cursos oferecidos por uma instituição de ensino.;dsbr;03/11/2022;1;nomeCurso;String;"Nome do Conjunto de atividades educativas formais que constroem um perfil de formação, composto por componentes curriculares, agrupados em períodos letivos. Considera-se a diferenciação entre cursos de uma mesma Unidade de Ensino, com mesma denominação, e Tipo de Curso, Tipo de oferta, Modalidade de Ensino e Turno distintos.";
dimCurso;A tabela dimCurso possui informações sobre os cursos oferecidos por uma instituição de ensino.;dsbr;03/11/2022;1;tipoCurso;String;"Refere-se ao tipo dos cursos pertencentes às instituições da Rede Federal de EPCT, podendo ser: Bacharelado, Mestrado Profissional, Qualificação Profissional (FIC), Técnico, Especialização (Lato Sensu), Doutorado, Licenciatura, Mestrado, Tecnologia, Ensino Médio, Ensino Fundamental II, Ensino Fundamental I, Educação Infantil e Doutorado Profissional.";
dimCurso;A tabela dimCurso possui informações sobre os cursos oferecidos por uma instituição de ensino.;dsbr;03/11/2022;1;tipoEixoTecnologico;String;"É o agrupamento de ações e das aplicações científicas às atividades humanas de mesma natureza, possuindo um núcleo de saberes comuns, embasados nas mesmas ciências e metodologias. São aplicados na classificação dos cursos da educação profissional, constante dos Catálogos Nacionais. Conforme definidos pelo CNE, são treze: - Ambiente e Saúde; - Controle e Processos industriais; - Desenvolvimento Educacional e Social; - Gestão e Negócios; - Informação e Comunicação; - Infraestrutura; - Militar; - Produção Alimentícia; - Produção Cultural e Design; - Produção Industrial; - Recursos Naturais; - Segurança; - Turismo, - Hospitalidade e lazer. Os Tipos de Curso que não contam com catálogos nacionais foram agregados, por similaridade, aos Eixos Tecnológicos existentes. Para efeito da Plataforma Nilo Peçanha, os cursos de Educação Básica, não profissionais, foram agregados ao Eixo Propedêutico.";
dimCurso;A tabela dimCurso possui informações sobre os cursos oferecidos por uma instituição de ensino.;dsbr;03/11/2022;1;SubeixoTecnologico;String;"Categorização própria da Plataforma Nilo Peçanha, criada para distinguir cursos de um mesmo Eixo Tecnológico em suas diferentes áreas de concentração.";
dimCurso;A tabela dimCurso possui informações sobre os cursos oferecidos por uma instituição de ensino.;dsbr;03/11/2022;1;tipoOferta;String;"Categorização transversal utilizada para diferenciar as formas de ofertas dos Cursos Técnicos e de Qualificação Profissional (FIC). Estão previstas as seguintes categorias: Integrado, Subsequente, Concomitante, PROEJA – Concomitante e PROEJA – Integrado.";
dimCurso;A tabela dimCurso possui informações sobre os cursos oferecidos por uma instituição de ensino.;dsbr;03/11/2022;1;turnoCurso;String;"Periodo do dia ou da noite em que o aluno cursa a maior parte das aulas, podendo ser matutino, vespertino, noturno ou integral. Não se aplica aos cursos com Modalidade de Ensino a distância.";
dimCurso;A tabela dimCurso possui informações sobre os cursos oferecidos por uma instituição de ensino.;dsbr;03/11/2022;1;ModalidadeEnsino;String;"Modo de desenvolvimento do curso quanto ao acompanhamento das atividades académicas, podendo ser presencial ou a distância.";
