Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);Titulação;Servidores | Número de TAE
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Aperfeiçoamento;1
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;537
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;270
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Educação Básica;100
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;23
2024;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;198
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Educação Básica;100
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;192
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;235
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;547
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;22
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;539
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Educação Básica;102
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;15
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;219
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;190
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;195
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;14
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;530
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;222
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Educação Básica;126
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;251
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;179
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;508
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;10
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Educação Básica;151
2019;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;9
2019;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;156
2019;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;272
2019;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;495
2019;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Educação Básica;177
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Ensino Fundamental;16
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Não Informado;1
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;292
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;5
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Ensino Médio;130
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;503
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Aperfeiçoamento;1
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;121
2018;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Técnico;32
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Doutorado;5
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Ensino Fundamental;17
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Ensino Médio;134
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Não Informado;1
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Especialização;505
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Técnico;29
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Graduação;284
2017;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Mestrado;121
